City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Ancud,CL,2020-08-22 02:19:01,-41.87,-73.82,45.0,100,90,3.36
240,Petropavlovsk-Kamchatskiy,RU,2020-08-22 02:19:01,53.05,158.65,59.0,72,40,2.24
241,Severo-Kurilsk,RU,2020-08-22 02:19:01,50.68,156.12,53.58,82,51,16.24
242,Kutoarjo,ID,2020-08-22 02:19:02,-7.72,109.91,85.26,59,93,3.65
243,Krasnoselkup,RU,2020-08-22 02:19:02,65.7,82.47,56.77,75,100,14.27
244,Geraldton,AU,2020-08-22 02:19:02,-28.77,114.6,60.8,77,90,4.16
245,Florianopolis,BR,2020-08-22 02:19:02,-27.61,-48.5,52.0,57,0,6.93
246,Berdigestyakh,RU,2020-08-22 02:19:03,62.1,126.7,58.69,38,0,7.83
247,Santa Rosa,PH,2020-08-22 02:19:03,14.31,121.11,90.0,66,90,2.24
248,Gat,IL,2020-08-22 02:19:03,31.61,34.76,75.99,35,16,5.59
249,Richards Bay,ZA,2020-08-22 02:19:03,-28.78,32.04,57.2,85,2,5.86
250,Qasigiannguit,GL,2020-08-22 02:19:04,68.82,-51.19,41.0,65,3,3.36
251,Kushima,JP,2020-08-22 02:19:04,31.46,131.23,89.6,66,75,2.24
252,Moranbah,AU,2020-08-22 02:19:04,-22.0,148.05,74.89,20,0,16.46
253,Coihaique,CL,2020-08-22 02:19:04,-45.58,-72.07,46.4,65,100,10.29
254,Saint-Pierre,RE,2020-08-22 02:19:04,-21.34,55.48,66.2,52,0,8.05
255,Oranjemund,NA,2020-08-22 02:19:05,-28.55,16.43,64.94,25,0,14.56
256,Souillac,MU,2020-08-22 02:19:05,-20.52,57.52,68.0,82,40,6.93
257,Khandyga,RU,2020-08-22 02:19:05,62.67,135.6,60.06,34,0,6.11
258,Sao Joao Da Barra,BR,2020-08-22 02:19:05,-21.64,-41.05,65.21,84,100,15.08
259,Vardo,NO,2020-08-22 02:19:05,70.37,31.11,54.93,85,73,15.32
260,Fort Nelson,CA,2020-08-22 02:19:06,58.81,-122.7,59.0,87,90,8.05
261,Austin,US,2020-08-22 02:18:58,30.27,-97.74,89.01,48,75,9.17
262,Crotone,IT,2020-08-22 02:14:26,39.09,17.12,78.57,52,0,3.09
263,Macenta,GN,2020-08-22 02:19:07,8.54,-9.47,68.65,96,92,1.92
264,Bilibino,RU,2020-08-22 02:19:07,68.05,166.44,42.42,83,100,8.03
265,Kloulklubed,PW,2020-08-22 02:19:07,7.04,134.26,84.2,70,75,4.7
266,Malanje,AO,2020-08-22 02:19:07,-9.54,16.34,61.09,78,27,2.68
267,Show Low,US,2020-08-22 02:19:07,34.25,-110.03,78.8,27,1,5.82
268,Balclutha,NZ,2020-08-22 02:19:08,-46.23,169.75,57.99,58,0,3.0
269,Dickinson,US,2020-08-22 02:19:08,29.46,-95.05,84.0,65,1,3.36
270,Tezu,IN,2020-08-22 02:19:08,27.92,96.17,82.47,67,50,2.15
271,Beba,CU,2020-08-22 02:19:09,22.44,-79.73,75.2,94,75,14.99
272,Narsaq,GL,2020-08-22 02:19:09,60.92,-46.05,46.4,75,0,2.24
273,Te Anau,NZ,2020-08-22 02:19:09,-45.42,167.72,53.28,65,14,1.92
274,Stavern,NO,2020-08-22 02:19:09,59.0,10.03,66.0,93,97,16.11
275,Quatre Cocos,MU,2020-08-22 02:19:09,-20.21,57.76,68.0,82,40,6.93
276,Kavaratti,IN,2020-08-22 02:19:10,10.57,72.64,81.93,77,76,8.93
277,Vila Franca Do Campo,PT,2020-08-22 02:19:10,37.72,-25.43,71.6,88,20,8.05
278,Kozhevnikovo,RU,2020-08-22 02:19:10,56.26,83.97,57.0,72,88,9.91
279,Egvekinot,RU,2020-08-22 02:19:11,66.32,-179.17,46.02,98,100,7.38
280,Ayan,RU,2020-08-22 02:19:11,56.45,138.17,60.35,63,40,1.81
281,Ostrovnoy,RU,2020-08-22 02:19:11,68.05,39.51,57.24,84,0,10.54
282,Nome,US,2020-08-22 02:19:11,64.5,-165.41,54.0,81,90,4.7
283,Svetlogorsk,BY,2020-08-22 02:19:11,52.63,29.73,55.89,94,70,4.79
284,Klaksvik,FO,2020-08-22 02:19:12,62.23,-6.59,50.0,100,94,26.4
285,Asau,RO,2020-08-22 02:19:12,46.43,26.4,63.0,89,0,4.09
286,Mount Gambier,AU,2020-08-22 02:19:12,-37.83,140.77,48.2,81,75,14.99
287,Upington,ZA,2020-08-22 02:19:12,-28.45,21.26,42.8,28,0,4.7
288,Palafrugell,ES,2020-08-22 02:19:12,41.92,3.16,75.99,48,11,11.86
289,Libreville,GA,2020-08-22 02:19:13,0.39,9.45,75.2,88,75,8.05
290,Korla,CN,2020-08-22 02:19:13,41.76,86.15,80.78,25,22,6.17
291,Hirado,JP,2020-08-22 02:19:13,33.36,129.55,87.8,74,20,4.7
292,Saint Pete Beach,US,2020-08-22 02:19:13,27.73,-82.74,78.8,88,1,18.34
293,Lodwar,KE,2020-08-22 02:19:14,3.12,35.6,78.26,54,10,19.66
294,Tommot,RU,2020-08-22 02:19:14,58.96,126.29,57.2,75,78,2.3
295,Chicama,PE,2020-08-22 02:17:05,-7.84,-79.15,61.99,79,100,4.79
296,High Level,CA,2020-08-22 02:19:14,58.52,-117.14,60.8,82,90,8.05
297,Cockburn Town,TC,2020-08-22 02:17:57,21.46,-71.14,83.7,81,8,20.71
298,Itarema,BR,2020-08-22 02:19:15,-2.92,-39.92,77.02,89,22,11.27
299,Urengoy,RU,2020-08-22 02:19:15,65.97,78.37,54.14,80,2,10.33
300,Olafsvik,IS,2020-08-22 02:19:15,64.89,-23.71,50.16,64,0,12.33
301,Tigil,RU,2020-08-22 02:19:15,57.8,158.67,53.67,81,99,11.52
302,Trinidad,BO,2020-08-22 02:19:16,-14.83,-64.9,56.68,43,93,7.4
303,Armidale,AU,2020-08-22 02:17:44,-30.52,151.65,39.99,74,94,8.99
304,Airai,TL,2020-08-22 02:19:16,-8.93,125.41,76.55,32,0,6.31
